timestamp,red,ir
16223219,80107,113364
16233219,80109,113370
16243219,80125,113394
16253219,80127,113407
16263219,80122,113443
16273219,80133,113450
16283219,80136,113466
16293219,80154,113481
16303219,80140,113502
16313219,80137,113505
16324219,80143,113511
16334219,80138,113507
16344219,80149,113519
16354219,80144,113536
16364219,80143,113551
16374219,80154,113566
16384219,80162,113595
16394219,80155,113602
16404219,80151,113615
16414219,80171,113625
16424219,80174,113621
16434219,80170,113637
16444219,80171,113635
16454219,80176,113635
16464219,80183,113633
16474219,80171,113648
16484219,80176,113652
16494219,80175,113664
16504219,80171,113663
16515219,80183,113680
16525219,80185,113677
16535219,80177,113685
16545219,80173,113691
16555219,80179,113699
16565219,80181,113705
16575219,80179,113717
16585219,80177,113731
16595219,80190,113733
16605219,80185,113761
16615219,80206,113758
16625219,80202,113753
16635219,80204,113763
16645219,80203,113759
16655219,80199,113757
16665219,80198,113758
16675219,80199,113763
16685219,80206,113767
16695219,80211,113785
16706219,80200,113787
16716219,80203,113788
16726219,80206,113806
16736219,80201,113802
16746219,80195,113774
16756219,80203,113744
16766219,80186,113656
16776219,80161,113531
16786219,80110,113309
16796219,80049,112939
16806219,79948,112553
16816219,79850,112244
16826219,79792,112067
16836219,79751,111980
16846219,79747,111973
16856219,79743,112015
16866219,79764,112082
16876219,79780,112199
16887219,79805,112310
16897219,79842,112428
16907219,79875,112547
16917219,79889,112642
16927219,79920,112736
16937219,79941,112809
16947219,79963,112896
16957219,79985,112981
16967219,79996,113046
16977219,80016,113118
16987219,80036,113178
16997219,80060,113222
17007219,80062,113253
17017219,80070,113276
17027219,80078,113304
17037219,80086,113325
17047219,80088,113349
17057219,80097,113377
17067219,80089,113395
17078219,80094,113399
17088219,80092,113398
17098219,80091,113399
17108219,80097,113398
17118219,80087,113408
17128219,80085,113404
17138219,80095,113418
17148219,80099,113424
17158219,80110,113451
17168219,80106,113471
17178219,80118,113487
17188219,80119,113494
17198219,80119,113525
17208219,80123,113535
17218219,80124,113551
17228219,80131,113572
17238219,80133,113591
17248219,80132,113611
17258219,80146,113630
17269219,80137,113629
17279219,80127,113632
17289219,80149,113655
17299219,80141,113665
17309219,80138,113664
17319219,80153,113684
17329219,80141,113690
17339219,80150,113710
17349219,80151,113721
17359219,80170,113736
17369219,80166,113743
17379219,80170,113756
17389219,80166,113748
17399219,80170,113762
17409219,80174,113744
17419219,80168,113760
17429219,80156,113750
17439219,80175,113761
17450219,80164,113762
17460219,80171,113779
17470219,80162,113783
17480219,80163,113777
17490219,80170,113801
17500219,80166,113796
17510219,80170,113807
17520219,80170,113817
17530219,80174,113834
17540219,80180,113831
17550219,80185,113847
17560219,80194,113840
17570219,80194,113837
17580219,80182,113860
17590219,80189,113851
17600219,80186,113856
17610219,80196,113871
17620219,80190,113876
17630219,80183,113874
17641219,80191,113892
17651219,80181,113893
17661219,80187,113886
17671219,80188,113912
17681219,80186,113909
17691219,80188,113911
17701219,80195,113926
17711219,80185,113915
17721219,80185,113904
17731219,80181,113865
17741219,80178,113789
17751219,80145,113638
17761219,80092,113426
17771219,80028,113111
17781219,79943,112774
17791219,79875,112504
17801219,79798,112313
17811219,79758,112217
17821219,79745,112180
17832219,79736,112176
17842219,79738,112217
17852219,79765,112316
17862219,79780,112406
17872219,79808,112503
17882219,79848,112613
17892219,79856,112701
17902219,79882,112786
17912219,79913,112839
17922219,79929,112909
17932219,79939,112970
17942219,79957,113022
17952219,79973,113059
17962219,79981,113100
17972219,79993,113152
17982219,79999,113165
17992219,80001,113188
18002219,80005,113218
18013219,80006,113238
18023219,80010,113253
18033219,80020,113257
18043219,80014,113268
18053219,80022,113274
18063219,80017,113269
18073219,80015,113271
18083219,80021,113268
18093219,80022,113284
18103219,80024,113277
18113219,80019,113253
18123219,80022,113253
18133219,80023,113252
18143219,80023,113273
18153219,80021,113279
18163219,80029,113307
18173219,80035,113355
18183219,80047,113388
18193219,80046,113411
18204219,80048,113446
18214219,80059,113470
18224219,80060,113481
18234219,80071,113516
18244219,80071,113550
18254219,80074,113568
18264219,80086,113607
18274219,80098,113642
18284219,80100,113685
18294219,80108,113705
18304219,80125,113716
18314219,80134,113734
18324219,80127,113745
18334219,80128,113742
18344219,80127,113752
18354219,80143,113764
18364219,80134,113770
18374219,80133,113799
18384219,80144,113812
18395219,80138,113813
18405219,80142,113804
18415219,80146,113821
18425219,80138,113822
18435219,80137,113829
18445219,80161,113830
18455219,80148,113842
18465219,80150,113859
18475219,80159,113881
18485219,80165,113880
18495219,80166,113889
18505219,80163,113897
18515219,80165,113904
18525219,80172,113917
18535219,80176,113911
18545219,80173,113920
18555219,80169,113904
18565219,80169,113933
18576219,80166,113923
18586219,80168,113941
18596219,80161,113940
18606219,80170,113948
18616219,80173,113945
18626219,80160,113899
18636219,80144,113823
18646219,80118,113693
18656219,80080,113485
18666219,80019,113186
18676219,79944,112895
18686219,79884,112677
18696219,79832,112522
18706219,79792,112434
18716219,79778,112389
18726219,79779,112399
18736219,79775,112444
18746219,79794,112495
18756219,79802,112555
18767219,79828,112642
18777219,79838,112728
18787219,79869,112819
18797219,79892,112914
18807219,79906,113016
18817219,79937,113088
18827219,79952,113161
18837219,79973,113224
18847219,79985,113288
18857219,80004,113343
18867219,80008,113375
18877219,80036,113408
18887219,80034,113443
18897219,80049,113465
18907219,80048,113490
18917219,80050,113491
18927219,80047,113500
18937219,80042,113496
18947219,80051,113481
18958219,80042,113456
18968219,80037,113445
18978219,80036,113437
18988219,80029,113420
18998219,80027,113424
19008219,80034,113432
